Index,Title,Price,Subscriber Count,Reviews,% Reviews,Course Length
﻿28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,1.21,24
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,0.6,125
889438,ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,20.53,64
197836,Projects in HTML5,60,8777,206,2.35,75
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,2.06,58
1086834,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,5.7,37
1094964,Build Your Own Backend REST API using Django REST Framework,50,2669,112,4.2,72
965870,Angular and Firebase - Build a Web App with Typescript,150,1966,359,18.26,65
965528,Web Development Masterclass - Complete Certificate Course,200,4090,178,4.35,348
1078208,Spring Boot Tutorial For Beginners,40,2578,210,8.15,39
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,2.16,67
785388,Scaling Docker on AWS,25,3133,351,11.2,63
1146014,Learn JavaScript for beginners,200,15276,167,1.09,19
8325,HTML Tutorial: HTML & CSS for Beginners,20,12458,253,2.03,82
987064,Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,20.24,32
94428,Learn Complete Web Development From Scratch,40,14074,106,0.75,46
159070,Introduction to Web Development: HTML,20,26800,333,1.24,55
920306,Web Site for Beginners - Learn Web Building like knitting,20,9425,147,1.56,14
1089744,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,2780,94,3.38,29
16646,Web Programming with Python,50,35267,217,0.62,53
678142,PHP Login and Registration System - Email Confirm Activation,100,2607,317,12.16,49
948440,PSD to Responsive HTML5: Beginner to Advanced,40,1502,218,14.51,49
924704,Ultimate Web Developer Course Build 10 Websites from Scratch,200,9359,110,1.18,402
1027342,Rapid Website Design with Bootstrap,200,14842,131,0.88,17
1009452,Build Enterprise Applications with Angular 2 (and Angular 4),190,6082,848,13.94,135
1247828,Angular 4 (2+) Crash Course for Beginners,120,12366,506,4.09,120
886300,Accelerated JavaScript Training,110,4720,1017,21.55,126
1009254,"Beginner API development in Node, Express, ES6, & MongoDB",165,7057,655,9.28,65
1078522,React JS and Redux - Mastering Web Apps,60,16829,820,4.87,77
1002030,Web Development w/ Googleâ€™s Go (golang) Programming Language,65,4872,662,13.59,171
