,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
17980,L. Sackey,18,Ghana,46,64,Scunthorpe United,ST,29.0,45.0,38.0,29.0,30.0,29.0,40.0,45.0,30.0,38.0,29.0,30.0,31.0,29.0,38.0,29.0,40.0,45.0,30.0,38.0,29.0,30.0,31.0,29.0,38.0,31.0
17779,M. Zettl,18,Germany,50,67,SpVgg Unterhaching,ST,47.0,32.0,36.0,46.0,42.0,47.0,39.0,32.0,42.0,36.0,46.0,49.0,43.0,49.0,41.0,47.0,39.0,32.0,42.0,36.0,46.0,49.0,43.0,49.0,41.0,43.0
15236,O. Sowunmi,21,England,59,71,Yeovil Town,ST,35.0,58.0,47.0,38.0,37.0,35.0,52.0,58.0,37.0,47.0,38.0,38.0,44.0,37.0,49.0,35.0,52.0,58.0,37.0,47.0,38.0,38.0,44.0,37.0,49.0,44.0
17877,E. Mason-Clark,17,England,50,63,Barnet,ST,49.0,33.0,35.0,49.0,42.0,49.0,39.0,33.0,42.0,35.0,49.0,50.0,45.0,51.0,40.0,49.0,39.0,33.0,42.0,35.0,49.0,50.0,45.0,51.0,40.0,45.0
17978,J. Young,17,Scotland,46,61,Swindon Town,ST,44.0,28.0,29.0,45.0,38.0,44.0,31.0,28.0,38.0,29.0,45.0,42.0,45.0,44.0,32.0,44.0,31.0,28.0,38.0,29.0,45.0,42.0,45.0,44.0,32.0,45.0
17969,F. Prohart,18,Austria,47,67,Wolfsberger AC,ST,48.0,27.0,31.0,48.0,41.0,48.0,33.0,27.0,41.0,31.0,48.0,47.0,46.0,49.0,35.0,48.0,33.0,27.0,41.0,31.0,48.0,47.0,46.0,49.0,35.0,46.0
17382,H. Logan,18,England,53,72,Milton Keynes Dons,ST,52.0,38.0,43.0,50.0,50.0,52.0,43.0,38.0,50.0,43.0,50.0,52.0,47.0,51.0,44.0,52.0,43.0,38.0,50.0,43.0,50.0,52.0,47.0,51.0,44.0,47.0
17948,R. Roache,17,Republic of Ireland,48,69,Blackpool,ST,43.0,27.0,29.0,45.0,38.0,43.0,31.0,27.0,38.0,29.0,45.0,43.0,47.0,44.0,32.0,43.0,31.0,27.0,38.0,29.0,45.0,43.0,47.0,44.0,32.0,47.0
17944,M. Foy,18,England,48,68,Cambridge United,ST,47.0,31.0,34.0,48.0,41.0,47.0,38.0,31.0,41.0,34.0,48.0,47.0,47.0,49.0,39.0,47.0,38.0,31.0,41.0,34.0,48.0,47.0,47.0,49.0,39.0,47.0
17716,P. Almqvist,17,Sweden,51,68,IFK Norrköping,ST,51.0,43.0,47.0,50.0,50.0,51.0,48.0,43.0,50.0,47.0,50.0,52.0,47.0,51.0,48.0,51.0,48.0,43.0,50.0,47.0,50.0,52.0,47.0,51.0,48.0,47.0
