Region,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020
Greater Sydney - Baulkham Hills and Hawkesbury,Murder *,0,1,0,1,0
Greater Sydney - Baulkham Hills and Hawkesbury,Attempted murder,0,0,0,0,0
Greater Sydney - Baulkham Hills and Hawkesbury,Non-domestic violence related assault,331,336,364,311,353
Greater Sydney - Baulkham Hills and Hawkesbury,Abduction and kidnapping,1,1,3,3,0
Greater Sydney - Baulkham Hills and Hawkesbury,Robbery without a weapon,14,13,10,14,15
Greater Sydney - Baulkham Hills and Hawkesbury,Robbery with a firearm,6,0,1,1,0
Greater Sydney - Baulkham Hills and Hawkesbury,Arson,75,183,204,91,63
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in cocaine",2,7,4,15,15
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in narcotics",0,0,0,0,0
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in cannabis",7,13,5,5,6
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in amphetamines",6,8,3,4,1
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in ecstasy",8,7,12,2,1
Greater Sydney - Baulkham Hills and Hawkesbury,"Dealing, trafficking in other drugs",1,3,1,3,14
Greater Sydney - Baulkham Hills and Hawkesbury,Trespass,102,86,83,97,135
Greater Sydney - Blacktown,Murder *,7,4,5,2,3
Greater Sydney - Blacktown,Attempted murder,2,0,1,1,1
Greater Sydney - Blacktown,Non-domestic violence related assault,"1,564","1,599","1,712","1,708","1,778"
Greater Sydney - Blacktown,Abduction and kidnapping,22,7,15,11,8
Greater Sydney - Blacktown,Robbery without a weapon,203,183,141,160,119
Greater Sydney - Blacktown,Robbery with a firearm,28,12,9,12,15
Greater Sydney - Blacktown,Arson,264,291,245,204,184
Greater Sydney - Blacktown,"Dealing, trafficking in cocaine",11,1,3,11,16
Greater Sydney - Blacktown,"Dealing, trafficking in narcotics",18,7,8,4,59
Greater Sydney - Blacktown,"Dealing, trafficking in cannabis",19,8,19,72,21
Greater Sydney - Blacktown,"Dealing, trafficking in amphetamines",43,78,20,90,34
Greater Sydney - Blacktown,"Dealing, trafficking in ecstasy",6,6,4,5,9
Greater Sydney - Blacktown,"Dealing, trafficking in other drugs",11,2,5,5,14
Greater Sydney - Blacktown,Trespass,281,298,251,297,344
Greater Sydney - Central Coast,Murder *,4,2,4,1,4
Greater Sydney - Central Coast,Attempted murder,7,0,2,2,2
Greater Sydney - Central Coast,Non-domestic violence related assault,"1,413","1,459","1,471","1,445","1,463"
